station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
TILDA,24-Aug-2014,23:00:00,21.6,81.4,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
GARIABAND,24-Aug-2014,23:00:00,20.6,82,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
ARJUNI,24-Aug-2014,23:00:00,22.7,82,0,25.3,,,5,76bcf32377b31402fd1b1ed1a66de1f0
NAYA RAIPUR,24-Aug-2014,23:00:00,21.2,81.9,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
BALRAMPUR,24-Aug-2014,23:00:00,23.2,83.7,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
ARJUNI,24-Aug-2014,22:00:00,22.7,82,0,25.5,,,5,76bcf32377b31402fd1b1ed1a66de1f0
BALRAMPUR,24-Aug-2014,22:00:00,23.2,83.7,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
KURUD,24-Aug-2014,22:00:00,20.8,81.7,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
NAYA RAIPUR,24-Aug-2014,22:00:00,21.2,81.9,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
GARIABAND,24-Aug-2014,22:00:00,20.6,82,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
TILDA,24-Aug-2014,22:00:00,21.6,81.4,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
NAYA RAIPUR,24-Aug-2014,21:00:00,21.2,81.9,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
ARJUNI,24-Aug-2014,21:00:00,22.7,82,0,25.8,,,5,76bcf32377b31402fd1b1ed1a66de1f0
BALRAMPUR,24-Aug-2014,21:00:00,23.2,83.7,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
GARIABAND,24-Aug-2014,21:00:00,20.6,82,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
KURUD,24-Aug-2014,21:00:00,20.8,81.7,0,,,,5,76bcf32377b31402fd1b1ed1a66de1f0
ARJUNI,24-Aug-2014,20:00:00,22.7,82,0,26.2,,,5,76bcf32377b31402fd1b1ed1a66de1f0
