station_id,date,time_utc,lat,lng,rainfall,temp,temp_max,temp_min,state,url_hash
TAMULPUR,24-Aug-2014,23:00:00,26.6,91.6,14,,,,4,289c0286eb43bf7775595f3930ba1ad2
BARPETA_ARG,24-Aug-2014,23:00:00,26.3,91,24,,,,4,289c0286eb43bf7775595f3930ba1ad2
AMRAGHAT,24-Aug-2014,23:00:00,24.6,93,32,,,,4,289c0286eb43bf7775595f3930ba1ad2
UMRANGSHU,24-Aug-2014,23:00:00,25.5,92.7,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
TEOK,24-Aug-2014,23:00:00,26.8,94.4,7,,,,4,289c0286eb43bf7775595f3930ba1ad2
RAHA,24-Aug-2014,23:00:00,26.2,92,13,,,,4,289c0286eb43bf7775595f3930ba1ad2
MORANG,24-Aug-2014,23:00:00,27.3,94.9,2,,,,4,289c0286eb43bf7775595f3930ba1ad2
LAKHIMPUR,24-Aug-2014,23:00:00,27.4,94.2,9,,,,4,289c0286eb43bf7775595f3930ba1ad2
LAHARIGHAT,24-Aug-2014,23:00:00,26.4,92.3,3,24.4,,,4,289c0286eb43bf7775595f3930ba1ad2
JAGIROAD,24-Aug-2014,23:00:00,26.2,92.4,13,,,,4,289c0286eb43bf7775595f3930ba1ad2
JONAI,24-Aug-2014,23:00:00,27.8,95.4,1,,,,4,289c0286eb43bf7775595f3930ba1ad2
HARINAGAR,24-Aug-2014,23:00:00,24.6,92.4,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
HATSINGIMARI,24-Aug-2014,23:00:00,25.7,89.9,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
CHANDRAPUR,24-Aug-2014,23:00:00,26.2,91.9,7,,,,4,289c0286eb43bf7775595f3930ba1ad2
CHAMATA,24-Aug-2014,23:00:00,26.4,91.1,27,,,,4,289c0286eb43bf7775595f3930ba1ad2
BIJNI,24-Aug-2014,23:00:00,26.4,90.7,19,,,,4,289c0286eb43bf7775595f3930ba1ad2
BOKAJAN,24-Aug-2014,23:00:00,26.1,93.8,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
BOKAKHAT,24-Aug-2014,23:00:00,26.4,93.6,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
RANGIA,24-Aug-2014,23:00:00,26.8,91.6,20,,,,4,289c0286eb43bf7775595f3930ba1ad2
SARUPATHAR,24-Aug-2014,23:00:00,26.2,93.8,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
SONARI,24-Aug-2014,23:00:00,27,95,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
SRIJANGRAM,24-Aug-2014,23:00:00,26.4,90.7,65,,,,4,289c0286eb43bf7775595f3930ba1ad2
PATHARUGHAT,24-Aug-2014,23:00:00,26.4,91.9,2,,,,4,289c0286eb43bf7775595f3930ba1ad2
MATIJURI,24-Aug-2014,23:00:00,24.6,92.6,10,,,,4,289c0286eb43bf7775595f3930ba1ad2
MANIKPUR,24-Aug-2014,23:00:00,26.5,90.8,0,24.4,,,4,289c0286eb43bf7775595f3930ba1ad2
KAKOPATHER,24-Aug-2014,23:00:00,27.6,95.6,34,,,,4,289c0286eb43bf7775595f3930ba1ad2
KAJIGOAN,24-Aug-2014,23:00:00,26.2,90,9,,,,4,289c0286eb43bf7775595f3930ba1ad2
BILASIPARA,24-Aug-2014,23:00:00,26.2,90.3,0,,,,4,289c0286eb43bf7775595f3930ba1ad2
DALGOAN,24-Aug-2014,23:00:00,26.6,92.2,0,16.4,,,4,289c0286eb43bf7775595f3930ba1ad2
DHEKIAJULI,24-Aug-2014,23:00:00,26.7,92.4,36,,,,4,289c0286eb43bf7775595f3930ba1ad2
GOHPUR,24-Aug-2014,23:00:00,26.9,93.6,2,,,,4,289c0286eb43bf7775595f3930ba1ad2
GUWAHATI_ARG,24-Aug-2014,23:00:00,26.1,91.8,9,,,,4,289c0286eb43bf7775595f3930ba1ad2
KHETRI,24-Aug-2014,23:00:00,26.1,92.1,12,24.6,,,4,289c0286eb43bf7775595f3930ba1ad2
